IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
182.255.95.95,443,true,167ms,未测速,2607:f130:0:162::588c:3a0a,IPv6,LAS,US,North America,Las Vegas,AS35916,MULTACOM CORPORATION
162.243.143.110,443,true,168ms,未测速,2604:a880:1:4a::1104:1000,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
104.168.132.123,443,true,169ms,未测速,2607:5501:3000:868::2,IPv6,SEA,US,North America,Seattle,AS54290,Hostwinds LLC.
68.178.203.190,443,true,171ms,未测速,2603:3:6101:c60::,IPv6,DFW,US,North America,Dallas,AS398101,"GoDaddy.com, LLC"
142.248.219.183,2053,true,174ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
35.89.243.2,443,true,175ms,未测速,2600:1f13:e6d:1c00:275c:e4b1:2e22:d417,IPv6,PDX,US,North America,Portland,AS16509,"Amazon.com, Inc."
142.248.218.192,2053,true,184ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.40,2053,true,184ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.46,2053,true,184ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.218.29,2053,true,186ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
172.86.115.167,443,true,192ms,未测速,2605:7980:0:60e9::1,IPv6,DFW,US,North America,Dallas,AS14956,RouterHosting LLC
95.181.173.109,443,true,207ms,未测速,2a01:e5c0:96e3::2,IPv6,ATL,US,North America,Atlanta,AS203273,NetCrafters OU
129.158.198.241,8443,true,211ms,未测速,129.158.198.241,IPv4,IAD,US,North America,Ashburn,AS31898,Oracle Corporation
78.111.88.107,443,true,211ms,未测速,78.111.88.107,IPv4,EWR,US,North America,Newark,AS208951,Itglobal.com Nl B.v.
129.158.241.2,8443,true,212ms,未测速,129.158.241.2,IPv4,IAD,US,North America,Ashburn,AS31898,Oracle Corporation
192.227.225.144,443,true,212ms,未测速,2605:6f01:2000:1bf::c7fa:aca9,IPv6,BUF,US,North America,Buffalo,AS36352,HostPapa
23.95.113.242,8443,true,214ms,未测速,23.95.113.242,IPv4,IAD,US,North America,Ashburn,AS36352,HostPapa
107.172.32.207,443,true,214ms,未测速,107.172.32.207,IPv4,ORD,US,North America,Chicago,AS36352,HostPapa
149.28.227.79,443,true,214ms,未测速,2001:19f0:4000:14d1:5400:6ff:fe50:6e8c,IPv6,EWR,US,North America,Newark,AS20473,"The Constant Company, LLC"
152.53.209.65,443,true,215ms,未测速,2a0a:4cc0:2000:c459:b4f2:acff:fe59:a026,IPv6,IAD,US,North America,Ashburn,AS214996,netcup GmbH
157.245.215.195,8443,true,216ms,未测速,157.245.215.195,IPv4,EWR,US,North America,Newark,AS14061,"DigitalOcean, LLC"
192.81.216.226,443,true,224ms,未测速,2604:a880:400:d1:0:3:9ad5:1,IPv6,EWR,US,North America,Newark,AS14061,"DigitalOcean, LLC"
23.95.78.94,443,true,231ms,未测速,2605:6f01:2000:1b3::4c66:1051,IPv6,BUF,US,North America,Buffalo,AS36352,HostPapa
152.53.31.200,443,true,231ms,未测速,2a0a:4cc0:2000:c8f4:a836:dfff:fea3:91ef,IPv6,IAD,US,North America,Ashburn,AS214996,netcup GmbH
172.245.180.219,2053,true,233ms,未测速,172.245.180.219,IPv4,BUF,US,North America,Buffalo,AS36352,HostPapa
185.28.175.200,8443,true,234ms,未测速,2606:2040:140:ea:be24:11ff:febf:a110,IPv6,MIA,US,North America,Miami,AS49791,Newserverlife LLC
170.106.171.202,2053,true,147ms,未测速,240d:c000:f07f:9100:30d6:8950:96a8:0,IPv6,SJC,US,North America,San Jose,AS132203,"Tencent Building, Kejizhongyi Avenue"
142.248.218.45,2053,true,149ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.218.198,2053,true,150ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
